거주지명,광역지자체 비율(%),기초지자체 비율(%)
전북특별자치도 군산시,0.4,0.086
전북특별자치도 익산시,0.4,0.092
전북특별자치도 정읍시,0.4,0.021
전북특별자치도 남원시,0.4,0.042
전북특별자치도 김제시,0.4,0.022
전북특별자치도 완주군,0.4,0.04
전북특별자치도 진안군,0.4,0.006
전북특별자치도 무주군,0.4,0.019
전북특별자치도 장수군,0.4,0.009
전북특별자치도 임실군,0.4,0.004
전북특별자치도 순창군,0.4,0.007
전북특별자치도 고창군,0.4,0.011
전북특별자치도 부안군,0.4,0.01
광주광역시 남구,0.3,0.029
광주광역시 동구,0.3,0.017
광주광역시 북구,0.3,0.091
광주광역시 광산구,0.3,0.107
광주광역시 서구,0.3,0.054
전라남도 목포시,0.3,0.038
전라남도 여수시,0.3,0.057
전라남도 순천시,0.3,0.076
전라남도 나주시,0.3,0.034
전라남도 광양시,0.3,0.078
전라남도 담양군,0.3,0.028
전라남도 곡성군,0.3,0.007
전라남도 구례군,0.3,0.009
전라남도 고흥군,0.3,0.011
전라남도 보성군,0.3,0.008
전라남도 화순군,0.3,0.012
전라남도 장흥군,0.3,0.009
전라남도 강진군,0.3,0.009
전라남도 해남군,0.3,0.015
전라남도 영암군,0.3,0.022
전라남도 무안군,0.3,0.022
전라남도 함평군,0.3,0.003
전라남도 영광군,0.3,0.014
전라남도 장성군,0.3,0.036
전라남도 완도군,0.3,0.009
전라남도 진도군,0.3,0.009
전라남도 신안군,0.3,0.007
세종특별자치시,0.2,0.227
제주특별자치도 제주시,0.2,0.131
제주특별자치도 서귀포시,0.2,0.067
