거주지명,광역지자체 비율(%),기초지자체 비율(%)
충청북도 청주시 청원구,1.0,0.103
충청남도 공주시,0.8,0.035
충청남도 보령시,0.8,0.03
충청남도 아산시,0.8,0.194
충청남도 서산시,0.8,0.063
충청남도 논산시,0.8,0.064
충청남도 계룡시,0.8,0.04
충청남도 당진시,0.8,0.102
충청남도 금산군,0.8,0.027
충청남도 부여군,0.8,0.017
충청남도 서천군,0.8,0.014
충청남도 청양군,0.8,0.009
충청남도 홍성군,0.8,0.033
충청남도 예산군,0.8,0.033
충청남도 태안군,0.8,0.017
충청남도 천안시 동남구,0.8,0.131
충청남도 천안시 서북구,0.8,0.179
인천광역시 동구,0.8,0.011
인천광역시 미추홀구,0.8,0.089
인천광역시 연수구,0.8,0.121
인천광역시 남동구,0.8,0.102
인천광역시 부평구,0.8,0.103
인천광역시 계양구,0.8,0.076
인천광역시 강화군,0.8,0.014
인천광역시 옹진군,0.8,0.008
인천광역시 서구,0.8,0.183
인천광역시 중구,0.8,0.066
대전광역시 동구,0.7,0.099
대전광역시 유성구,0.7,0.241
대전광역시 대덕구,0.7,0.116
대전광역시 서구,0.7,0.203
대전광역시 중구,0.7,0.096
강원특별자치도 고성군,0.5,0.013
강원특별자치도 춘천시,0.5,0.094
강원특별자치도 원주시,0.5,0.156
강원특별자치도 강릉시,0.5,0.078
강원특별자치도 동해시,0.5,0.05
강원특별자치도 태백시,0.5,0.034
강원특별자치도 속초시,0.5,0.024
강원특별자치도 삼척시,0.5,0.053
강원특별자치도 홍천군,0.5,0.026
강원특별자치도 횡성군,0.5,0.012
강원특별자치도 영월군,0.5,0.019
강원특별자치도 평창군,0.5,0.024
강원특별자치도 정선군,0.5,0.021
강원특별자치도 철원군,0.5,0.021
강원특별자치도 화천군,0.5,0.022
강원특별자치도 양구군,0.5,0.016
강원특별자치도 인제군,0.5,0.021
강원특별자치도 양양군,0.5,0.016
전북특별자치도 전주시 완산구,0.4,0.074
전북특별자치도 전주시 덕진구,0.4,0.08
전북특별자치도 군산시,0.4,0.094
전북특별자치도 익산시,0.4,0.088
전북특별자치도 정읍시,0.4,0.025
전북특별자치도 남원시,0.4,0.028
전북특별자치도 김제시,0.4,0.02
전북특별자치도 완주군,0.4,0.04
전북특별자치도 진안군,0.4,0.004
전북특별자치도 무주군,0.4,0.018
전북특별자치도 장수군,0.4,0.007
전북특별자치도 임실군,0.4,0.005
전북특별자치도 순창군,0.4,0.006
전북특별자치도 고창군,0.4,0.013
전북특별자치도 부안군,0.4,0.009
전라남도 목포시,0.3,0.038
전라남도 여수시,0.3,0.059
전라남도 순천시,0.3,0.069
전라남도 나주시,0.3,0.032
전라남도 광양시,0.3,0.082
전라남도 담양군,0.3,0.016
전라남도 곡성군,0.3,0.005
전라남도 구례군,0.3,0.01
전라남도 고흥군,0.3,0.013
전라남도 보성군,0.3,0.008
전라남도 화순군,0.3,0.012
전라남도 장흥군,0.3,0.006
전라남도 강진군,0.3,0.007
전라남도 해남군,0.3,0.015
전라남도 영암군,0.3,0.019
전라남도 무안군,0.3,0.022
전라남도 함평군,0.3,0.005
전라남도 영광군,0.3,0.013
전라남도 장성군,0.3,0.028
전라남도 완도군,0.3,0.01
전라남도 진도군,0.3,0.013
전라남도 신안군,0.3,0.008
광주광역시 남구,0.2,0.034
광주광역시 동구,0.2,0.018
광주광역시 북구,0.2,0.089
광주광역시 광산구,0.2,0.11
광주광역시 서구,0.2,0.047
세종특별자치시,0.2,0.232
제주특별자치도 제주시,0.2,0.126
제주특별자치도 서귀포시,0.2,0.064
